id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
2389,11,88.18181818181819,6,3,2,0
2391,11,88.18181818181819,6,3,2,0
2396,11,88.18181818181819,6,3,2,0
2399,11,88.18181818181819,6,3,2,0
2441,11,88.18181818181819,6,3,2,0
2442,11,88.18181818181819,6,3,2,0
2443,11,88.18181818181819,6,3,2,0
2476,11,88.18181818181819,6,3,2,0
2490,11,88.18181818181819,6,3,2,0
2491,11,88.18181818181819,6,3,2,0
2499,11,88.18181818181819,6,3,2,0
2524,11,88.18181818181819,6,3,2,0
2525,11,88.18181818181819,6,3,2,0
2530,11,88.18181818181819,6,3,2,0
2537,11,88.18181818181819,6,3,2,0
2566,11,88.18181818181819,6,3,2,0
2572,11,88.18181818181819,6,3,2,0
2573,11,88.18181818181819,6,3,2,0
2576,11,88.18181818181819,6,3,2,0
2588,11,88.18181818181819,6,3,2,0
2591,11,88.18181818181819,6,3,2,0
2615,11,88.18181818181819,6,3,2,0
2630,11,88.18181818181819,6,3,2,0
2635,11,88.18181818181819,6,3,2,0
2658,11,88.18181818181819,6,3,2,0
2664,11,88.18181818181819,6,3,2,0
2710,11,88.18181818181819,6,3,2,0
2733,11,88.18181818181819,6,3,2,0
2738,11,88.18181818181819,6,3,2,0
2739,11,88.18181818181819,6,3,2,0
2747,11,88.18181818181819,6,3,2,0
2758,11,88.18181818181819,6,3,2,0
2760,11,88.18181818181819,6,3,2,0
2769,11,88.18181818181819,6,3,2,0
2791,11,88.18181818181819,6,3,2,0
2800,11,88.18181818181819,6,3,2,0
2809,11,88.18181818181819,6,3,2,0
2811,11,88.18181818181819,6,3,2,0
2818,11,88.18181818181819,6,3,2,0
2830,11,88.18181818181819,6,3,2,0
2835,11,88.18181818181819,6,3,2,0
2836,11,88.18181818181819,6,3,2,0
2844,11,88.18181818181819,6,3,2,0
2851,11,88.18181818181819,6,3,2,0
2853,11,88.18181818181819,6,3,2,0
2864,11,88.18181818181819,6,3,2,0
2871,11,88.18181818181819,6,3,2,0
2875,11,88.18181818181819,6,3,2,0
2877,11,88.18181818181819,6,3,2,0
2883,11,88.18181818181819,6,3,2,0
2892,11,88.18181818181819,6,3,2,0
2893,11,88.18181818181819,6,3,2,0
2896,11,88.18181818181819,6,3,2,0
2899,11,88.18181818181819,6,3,2,0
2903,11,88.18181818181819,6,3,2,0
2904,11,88.18181818181819,6,3,2,0
2905,11,88.18181818181819,6,3,2,0
2907,11,88.18181818181819,6,3,2,0
2908,11,88.18181818181819,6,3,2,0
2912,11,88.18181818181819,6,3,2,0
2913,11,88.18181818181819,6,3,2,0
2915,11,88.18181818181819,6,3,2,0
2917,11,88.18181818181819,6,3,2,0
2925,11,88.18181818181819,6,3,2,0
2933,11,88.18181818181819,6,3,2,0
2935,11,88.18181818181819,6,3,2,0
2936,11,88.18181818181819,6,3,2,0
2939,11,88.18181818181819,6,3,2,0
2941,11,88.18181818181819,6,3,2,0
2949,11,88.18181818181819,6,3,2,0
2950,11,88.18181818181819,6,3,2,0
2953,11,88.18181818181819,6,3,2,0
2954,11,88.18181818181819,6,3,2,0
2961,11,88.18181818181819,6,3,2,0
2964,11,88.18181818181819,6,3,2,0
2966,11,88.18181818181819,6,3,2,0
2967,11,88.18181818181819,6,3,2,0
2969,11,88.18181818181819,6,3,2,0
2972,11,88.18181818181819,6,3,2,0
2975,11,88.18181818181819,6,3,2,0
2976,11,88.18181818181819,6,3,2,0
2978,11,88.18181818181819,6,3,2,0
2980,11,88.18181818181819,6,3,2,0
2988,11,88.18181818181819,6,3,2,0
2989,11,88.18181818181819,6,3,2,0
2990,11,88.18181818181819,6,3,2,0
2991,11,88.18181818181819,6,3,2,0
2992,11,88.18181818181819,6,3,2,0
2993,11,88.18181818181819,6,3,2,0
2996,11,88.18181818181819,6,3,2,0
2997,11,88.18181818181819,6,3,2,0
3000,11,88.18181818181819,6,3,2,0
3002,11,88.18181818181819,6,3,2,0
3008,11,88.18181818181819,6,3,2,0
3010,11,88.18181818181819,6,3,2,0
3014,11,88.18181818181819,6,3,2,0
3016,11,88.18181818181819,6,3,2,0
3020,11,88.18181818181819,6,3,2,0
3023,11,88.18181818181819,6,3,2,0
3037,11,88.18181818181819,6,3,2,0
3038,11,88.18181818181819,6,3,2,0
3040,11,88.18181818181819,6,3,2,0
3047,11,88.18181818181819,6,3,2,0
3050,11,88.18181818181819,6,3,2,0
3060,11,88.18181818181819,6,3,2,0
3069,11,88.18181818181819,6,3,2,0
3072,11,88.18181818181819,6,3,2,0
3075,11,88.18181818181819,6,3,2,0
3080,11,88.18181818181819,6,3,2,0
3081,11,88.18181818181819,6,3,2,0
3084,11,88.18181818181819,6,3,2,0
3086,11,88.18181818181819,6,3,2,0
3093,11,88.18181818181819,6,3,2,0
3097,11,88.18181818181819,6,3,2,0
3099,11,88.18181818181819,6,3,2,0
3103,11,88.18181818181819,6,3,2,0
3107,11,88.18181818181819,6,3,2,0
3109,11,88.18181818181819,6,3,2,0
3113,11,88.18181818181819,6,3,2,0
3371,11,88.18181818181819,6,3,2,0
3397,11,88.18181818181819,6,3,2,0
3404,11,88.18181818181819,6,3,2,0
3425,11,88.18181818181819,6,3,2,0
3428,11,88.18181818181819,6,3,2,0
3445,11,88.18181818181819,6,3,2,0
3485,11,88.18181818181819,6,3,2,0
3486,11,88.18181818181819,6,3,2,0
3488,11,88.18181818181819,6,3,2,0
3489,11,88.18181818181819,6,3,2,0
3490,11,88.18181818181819,6,3,2,0
3492,11,88.18181818181819,6,3,2,0
3493,11,88.18181818181819,6,3,2,0
3494,11,88.18181818181819,6,3,2,0
3495,11,88.18181818181819,6,3,2,0
3496,11,88.18181818181819,6,3,2,0
3497,11,88.18181818181819,6,3,2,0
3498,11,88.18181818181819,6,3,2,0
3499,11,88.18181818181819,6,3,2,0
3500,11,88.18181818181819,6,3,2,0
3501,11,88.18181818181819,6,3,2,0
